Rank,Run ID,Factors,Iterations,Regularization,Precision@10,MAP@10,NDCG@10,Training Time (min),Timestamp
1,0f319a50,150,25,0.01,0.013691933549139787,0.008799691534876681,0.014434661157495872,243.1769023021062,1764214535641
2,f47dab8f,125,25,0.01,0.01199944131324252,0.008057595267734016,0.01309130664592919,13.231738249460856,1764213444249
3,82512f42,100,20,0.01,0.008530243028739504,0.006317941818520822,0.010019882890630747,18.374986950556437,1764212076053
4,3e7f542d,100,20,0.01,0.008530243028739504,0.006317941818520822,0.010019882890630747,6.43238183259964,1764209091041
5,5aa6379c,75,20,0.01,0.006860344742593292,0.005280208927022302,0.008293120507202677,5.653574033578237,1764211484956
6,18784a65,50,15,0.01,0.0034342803621604744,0.0029644744651075522,0.004538804058569523,3.7251760005950927,1764211032167
7,4c920fdf,100,20,0.01,0.0,0.0,0.0,0.0,1764208429620
